fairness	Fairness
how_to_play	Wie man spielt
best_mode	Abgeschlossene Wetten
total_won	Insgesamt gewonnen
bet_amount	Wetteinsatz
pls_select_sector	Bitte Sektor auswählen
pls_login_to	Bitte melden Sie sich an
spin	WETTEN
time	Zeit
block	Block
player	Spieler
prediction	Vorhersage
result	Ergebnis
bet	Wette
payout	Auszahlung
fairness_text	Die Gewinnzahlen sind zufällig und im Voraus nicht bekannt. Der Zufallszahlengenerator basiert auf den TRON hash block und wird durch einen smart contract im TRON Netzwerk betrieben. Du kannst deine Spieleradresse und die Blocknummer nutzen, um die Gewinnzahlen zu überprüfen.
bet_id	Spieleradresse:
block_number	Block Nummer:
result_2	Ergebnis:
send	Senden
referrals	Anwerben
referrals_text	Werde einfach durch das Weiterempfehlen von Freunden. Genießen Sie lebenslange Belohnungen, indem Sie dies Ihren Freunden empfehlen. Erhalten Sie 0,2% aller Wetteinsätze. Alle Belohnungen werden automatisch durch unseren smart contract verschickt. Kopieren Sie einfach den Link und teilen Sie ihn allen Ihren Freunden! Die Kosten um einen Werbungslink zu erstellen beträgt 8.88 TRX und weniger als 1 TRX als Transaktionsgebühr. Sie können beliebig oft neue Werbungslinks erstellen. Alte Links werden dabei automatisch ersetzt.
how_1	1. Stellen Sie sicher, dass Sie einen TRONLink-Wallet besitzen. Weitere Informationen zur Erstellung finden Sie <a href="https://chrome.google.com/webstore/detail/tronlink/ibnejdfjmmkpcnlpebklmnkoeoihofec" target="_blank">hier</a>. Zum Spielen auf einem mobilen Gerät nutzen Sie <a href="https://mathwallet.org/" target="_blank">Math Wallet</a>, <a href="https://tronwallet.me/" target="_blank">TronWallet</a> oder <a href="https://www.huobiwallet.com/" target="_blank">HuobiWallet</a>.
how_2	2. Zum Spielen müssen Sie TRX besitzen, die zugrunde liegende Kryptowährung, die das Tron-Netzwerk antreibt.
how_3	3. Stellen Sie Ihren Wetteinsatz ein. Dies ist die Menge an TRX mit der Sie wetten.
how_4	4. Wählen Sie den SEKTOR aus.
how_5	5. Klicken Sie auf WETTEN, um Ihren Einsatz zu platzieren. Die smart contracts werden dann eine zufällige Sektornummer generieren.
how_6	6. Wenn die Sektornummer Ihrer Vorhersage entspricht, GEWINNEN Sie! Auszahlung = Wetteinsatz * Sektor.
how_7	Noch Fragen? Treten Sie unserer <a href="https://t.me/tron888" target="_blank"> Telegrammgruppe </a> bei, wir helfen Ihnen gerne weiter!
network_err	Network error
tsc_err	Tron Smart Contract is not awalable now. Please try later.
need_tron	Need TRONLink
tron_text	Please login to your TRONLink wallet. If you do not have TRONLink wallet installed please <a href="https://chrome.google.com/webstore/detail/tronlink/ibnejdfjmmkpcnlpebklmnkoeoihofec" target="_blank">download the chrome extension.</a> Only using Chrome browser availble.
wagered	Gewettet
balance	Guthaben
my_bets	Meine Wetten
all_bets	Alle Wetten
high_rollers	Hohe Einsätze
rare_wins	Seltene Siege
history	Verlauf
money	Geld
poker_dice	Poker Dice
crypto_slots	Crypto Slots
dividends	Dividenden
soon	bald
play	(Spiele
to_mine	TRX um 1 Token 888 zu minen)
stage	Phase:
next_stage	Nächste Phase:
available_dividends	Verfügbare Dividenden
total_of 	Insgesamt
frozen_across	sind im Netzwerk eingefroren. Du erhälst 
available	Verfügbar
withdrawn	Abgehoben
freeze	Einfrieren
frozen	Eingefroren
unfreeze	Auftauen
wtithdraw_text	Bitte melden Sie sich bei Ihrem TRONLink-Wallet an. Wenn Sie keine TRONLink-Geldbörse installiert haben, besuchen Sie <a href="http://u6.gg/gmc5D" target="_blank"> http://u6.gg/gmc5D </a> und laden Sie die Chrome-Erweiterung herunter. (TRONbet ist vorerst nur über den Chrome-Browser verfügbar.)
freezing	Einfrieren
freezing_text	1. Um Dividenden zu erhalten, sollten Sie Ihre 888 Token vor dem Ende eines Levels einfrieren und nach Ende des Levels wieder auftauen. 2. Dividenden werden nur für die eingefrorenen 888 Tokens gutgeschrieben. <br> 3. Eins ist die Mindestanzahl von 888 Token, die eingefroren werden sollten. 4. Wenn 888 Token nach dem Ende des Levels aufgetaut werden, werden Dividenden automatisch durch eine interne Transaktion über den smart contract ausgezahlt. 5. Wenn Sie beim Einfrieren einer neuen Anzahl von Tokens bereits einige eingefrorene Token auf Ihrem Konto haben, wird die vorherige Portion automatisch aufgetaut und dann die gesamte Anzahl der Token wieder eingefroren. Wenn Dividenden auf den vorherigen Teil der eingefroren Tokens sind, so werden sie durch eine interne Transaktion durch den smart contract automatisch in die Wallet des Spielers transferiert. 6. Das Einfrieren und Auftauen von 888 Tokens erfordert mehrere TRX. Aus diesem Grund müssen diese bei Transaktionen in der Wallet sein.
withdraw	Abheben
token_about	Über 888 Token
token_title_1	Was ist 888 Token und wofür ist er da?
token_text_1	888 Token ist ein TRC20 Token auf der TRON blockchain. Insgesamt können 100,000,000 888 tokens abgebaut werden (Für Information über die Verteilung der 888 Tokens, schauen Sie sich unser Whitepaper an). 888 Token-Besitzer erhalten Dividenden in TRX, je nachdem, wie viele 888 Tokens Sie besitzen.
token_title_2	Was sind Dividenden? Und wieso schwankt sie?
token_text_2	Dividenden werden aus dem Erlös von 888TRON, also dem Hausvorteil, abgeleitet. Der Dividendenpool wird ständig schwanken, je nachdem, ob die Nutzer auf 888TRON.Com gewinnen oder verlieren.
token_title_3	Kann ich 888 Tokens kaufen?
token_text_3	888 kann nicht direkt gekauft werden und kann nur durch Spielen auf 888TRON.com abgebaut werden. In Zukunft werden 888 Tokens auf DEXs und andere Krypto-Vermittlungsstellen verfügbar sein.
token_title_4	Ich habe meine 888 Tokens abgehoben, wo kann ich sie sehen?
